"Titulo","Descripcion","Enlace al sitio web","Precio","Categoria","Imagen local"
"Parafina 220ml + Sachet Adicional","Potencia y color. SPF 5. Para todas las pieles. Uso en sol y camara. Aproximadamente 16 usos. Ayuda a lograr un bronceado rapido con una piel dorada y jugosa.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Parafina%20220ml%20%2B%20Sachet%20Adicional","150000","Personales","Parafina 220ml + Sachet Adicional.png"
"TOP Bronze 250ml","Activador y acelerador de bronceado intenso. Uso en sol y camara. Ideal para pieles adaptadas o tolerantes. Enriquecido con extractos de acai, coco, remolacha, achiote y zanahoria. Potencia el color y nutre la piel.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20TOP%20Bronze%20250ml","130000","Personales","TOP Bronze 250ml.png"
"Oleo Bronceador 220ml","Oleo bronceador para uso en sol. Para todas las pieles. Aproximadamente 16 usos. Alto contenido de betacaroteno natural. Proporciona un acabado dorado, brillante e iluminado, aportando hidratacion. Puede mezclarse con otros bronceadores de la marca.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Oleo%20Bronceador%20220ml","70000","Personales","Oleo Bronceador 220ml.png"
"Top Tradicional 250ml","Mas de 16 aplicaciones. Uso en camara y sol. Recomendado para todo tipo de pieles, especialmente sensibles o delicadas. No mancha, es ligero, cremoso y contiene mirella.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Top%20Tradicional%20250ml","125000","Personales","Top Tradicional 250ml.png"
"Kit 100 Juegos Bikini Plantilla","Kit de 100 plantillas para encintado profesional y definicion de marcas de bronceado.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Kit%20100%20Juegos%20Bikini%20Plantilla","399900","Personales","Kit 100 Juegos Bikini Plantilla_1.png"
"Bikini Top","Bikini asoleador disenado para procesos de bronceado.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Bikini%20Top","38000","Personales","Bikini Top.png"
"Marquinha 500ml","Activador y acelerador del bronceado. Ayuda a definir y resaltar las marcas del bikini.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Marquinha%20500ml","170000","Profesionales","Marquinha 500ml.png"
"Parafina 900ml","Potencia Intense. SPF 5. Para sol y camara. Mas de 60 usos. Apta para todos los fototipos de piel (I a VI), incluidas pieles sensibles. Contiene manteca de cacao, aceite de achiote, coco, macadamia, zanahoria, cera de abejas y remolacha.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Parafina%20900ml","220000","Profesionales","Parafina 900ml_1.png"
"TOP Tradicional 900ml","Bronceador de un paso para todas las pieles. Uso en sol y camara. SPF 5. Rendimiento aproximado de 60 usos. Ideal para pieles sensibles, delicadas o personas que inician en el bronceado. Contiene cacao, uva, aji, aceite de coco y vitamina E. Registro INVIMA.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20TOP%20Tradicional%20900ml","200000","Profesionales","TOP Tradicional 900ml.png"
"TOP Bronze 900ml","Activador y acelerador del bronceado. Presentacion profesional de alto rendimiento para procesos de bronceado intensivo.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20TOP%20Bronze%20900ml","200000","Profesionales","TOP Bronze 900ml.png"
"Oleo 900ml","Finalizador y potencializador del bronceado. Uso en sol. Para todas las pieles. Alto contenido de betacaroteno natural y efecto brillante. Puede mezclarse con otros bronceadores de la linea para potenciar el resultado. Aporta hidratacion profunda y acabado dorado iluminado.","https://wa.me/573193187250?text=Hola%2C%20quiero%20informacion%20de%20Oleo%20900ml","250000","Profesionales","Oleo 900ml.png"
